id,username,created_at,lng,lat,text
1517426080650612737,Richardso1Alban,Fri Apr 22 08:52:24 +0000 2022,-80.926628,33.6311395,@BoxingTalk_UK Shame they can’t be honest with him
1517426100690956288,SSSS38186145,Fri Apr 22 08:52:29 +0000 2022,-72.757385,41.500753,"@Brad_Burnsy @AdamKinzinger @TuckerCarlson You’re such a moron, who would wanna go on date with the biggest traitor… https://t.co/On6wl72dbd"
1517426103274532864,AyeTeo17,Fri Apr 22 08:52:30 +0000 2022,-106.632718,35.1170025,💗 swear every song y’all make it just resonates with my soul and life
1517426104855777281,TinaWil02921208,Fri Apr 22 08:52:30 +0000 2022,-122.455344,47.242960499999995,@nunyaa2012 I just let my dog fuck me and lick my pussy last night
1517426108265807872,Mattbetts341,Fri Apr 22 08:52:31 +0000 2022,-103.2050705,34.4148675,Text me @MastaBTattn
1517426113261285376,TheCoachinator,Fri Apr 22 08:52:32 +0000 2022,-87.20465949999999,30.4547915,"@AshcanPress Why not, we already got NFL Superpro…might as well grab a baseball guy too"
1517426121356193792,ShadesofJoana,Fri Apr 22 08:52:34 +0000 2022,-119.85507849999999,34.421639,@chefboyardsteez Omg thank you for letting me know!
1517426122367062016,khanman96,Fri Apr 22 08:52:34 +0000 2022,-71.0887125,42.3136695,@illumifatii Lol honestly maybe but why do YOU want me married so badly 😩
1517426123260547072,prettylilanahi,Fri Apr 22 08:52:34 +0000 2022,-95.44648649999999,29.838495,Cheating back man you really spiteful just leave
1517426132563509248,mha_sr,Fri Apr 22 08:52:37 +0000 2022,-83.0269885,42.492846,@RobertIrvine Tear down the old #RestaurantImpossible #fitcrunch
1517426133779632128,DjMILWAUKEVEGAS,Fri Apr 22 08:52:37 +0000 2022,-115.223125,36.232915,"@masikakalysha Gotta try a non celebrity nigga out one time Masika. Like a nigga that got paper but, don’t got yo type of paper like myself."
1517426139865694209,Only1WhoJ,Fri Apr 22 08:52:38 +0000 2022,-83.1738665,32.6782075,All that “Pussy Power” for Absolutely Nothing 😂😂😂
1517426143569137664,bigqueengangsta,Fri Apr 22 08:52:39 +0000 2022,-100.0768885,31.1688935,Really delusional tbh
1517426148136816640,franangelo_,Fri Apr 22 08:52:40 +0000 2022,-118.4119065,34.0207895,gettin that six digit money 💰
1517426155393110018,gregstayeating,Fri Apr 22 08:52:42 +0000 2022,-76.8849345,38.9262355,@issawooo When my aunt died suddenly in 2012 my sister called me in shambles and STILL I’m haunted. She was still i… https://t.co/bVXRHfhWFc
1517426156290510848,Allisonisme1323,Fri Apr 22 08:52:42 +0000 2022,-123.095999,44.631133500000004,Girl Scout Leader’s Day 2022   #GirlScoutLeadersDay https://t.co/tmMHW0znDM https://t.co/uWs2uc7xvH
1517426160967188480,Chamonaaaa,Fri Apr 22 08:52:43 +0000 2022,-118.4119065,34.0207895,Not my roommate and her mom fighting and I’m like hello 🤐👀
1517426161307066369,blattner1975,Fri Apr 22 08:52:43 +0000 2022,-86.441236,39.766555499999996,@MikeAda09133075 We made it Friday woohoo hope you have a great day and weekend
1517426164721229824,suhaylabbas,Fri Apr 22 08:52:44 +0000 2022,-75.600752,40.508318,"All our cities, towns and villages everywhere are ❤️ #امپورٹڈ_حکومت_نامنظور"
